Level, Branch, Bus1, Bus2, Distance
39, Line.mdv201_1012644elb, mdv201_1012644elb_int.3, 1012644.3,     2.0008
40, Transformer.mdv201_1012644elb-1c, 1012644.3, x_1012644.3,     2.0008
41, Line.s_mdv201_1012644elb-1c0, x_1012644.3, x_1012644_1.3,     2.0313
-1, Load.mdv201_1012644elb-1c0, x_1012644_1.3
35, Line.mdv201_hn_21016_c63717, 63716.3, 63717.3,     1.9355
36, Transformer.mdv201_hn_21016_c63717-1c, 63717.3, x_63717.3,     1.9355
37, Line.s_mdv201_hn_21016_c63717-1c0, x_63717.3, x_63717_1.3,     1.9660
-1, Load.mdv201_hn_21016_c63717-1c0, x_63717_1.3
35, Line.mdv201_hn_2_288_c63719, 63716.3, 63719.3,     1.9325
36, Transformer.mdv201_hn_2_288_c63719-1c, 63719.3, x_63719.3,     1.9325
37, Line.s_mdv201_hn_2_288_c63719-1c4, x_63719.3, x_63719_5.3,     1.9629
-1, Load.mdv201_hn_2_288_c63719-1c4, x_63719_5.3
37, Line.s_mdv201_hn_2_288_c63719-1c3, x_63719.3, x_63719_4.3,     1.9629
-1, Load.mdv201_hn_2_288_c63719-1c3, x_63719_4.3
37, Line.s_mdv201_hn_2_288_c63719-1c2, x_63719.3, x_63719_3.3,     1.9629
-1, Load.mdv201_hn_2_288_c63719-1c2, x_63719_3.3
37, Line.s_mdv201_hn_2_288_c63719-1c1, x_63719.3, x_63719_2.3,     1.9629
-1, Load.mdv201_hn_2_288_c63719-1c1, x_63719_2.3
37, Line.s_mdv201_hn_2_288_c63719-1c0, x_63719.3, x_63719_1.3,     1.9629
-1, Load.mdv201_hn_2_288_c63719-1c0, x_63719_1.3
31, Line.mdv201_hn_2_091_abc44583, 8160, 44583,     1.6789
32, Transformer.mdv201_hn_2_091_abc44583-1c, 44583.3, x_44583.3,     1.6789
33, Line.s_mdv201_hn_2_091_abc44583-1c1, x_44583.3, x_44583_2.3,     1.7094
-1, Load.mdv201_hn_2_091_abc44583-1c1, x_44583_2.3
